vehicle_id,clearance_time,speed
cars_we.212,13.0,0.0
cars_we.213,13.0,0.0
cars_we.214,13.0,0.0
cars_we.215,13.0,0.0
cars_we.216,13.0,0.0
cars_we.217,15.0,0.0
cars_we.218,13.0,0.0
cars_we.219,12.0,0.0
cars_we.220,13.0,0.0
cars_we.221,13.0,0.0
cars_we.222,13.0,0.0
cars_we.223,13.0,0.0
cars_we.224,14.0,0.0
cars_we.225,12.0,0.0
cars_we.226,13.0,0.0
cars_we.227,14.0,0.0
cars_we.228,13.0,0.0
cars_we.229,15.0,0.0
cars_we.230,13.0,0.0
cars_we.231,13.0,0.0
cars_we.232,12.0,0.0
cars_we.233,14.0,0.0
cars_we.234,13.0,0.0
cars_we.235,13.0,0.0
cars_we.236,13.0,0.0
cars_we.237,13.0,0.0
cars_we.238,13.0,0.0
cars_we.239,14.0,0.0
cars_we.240,13.0,0.0
cars_we.241,13.0,0.0
cars_we.242,14.0,0.0
cars_we.243,13.0,0.0
cars_we.244,13.0,0.0
cars_we.245,12.0,0.0
cars_we.246,13.0,0.0
cars_we.247,12.0,0.0
cars_we.248,13.0,0.0
cars_we.249,12.0,0.0
cars_we.250,13.0,0.0
cars_we.251,13.0,0.0
cars_we.252,13.0,0.0
cars_we.253,13.0,0.0
cars_we.254,13.0,0.0
cars_we.255,13.0,0.0
cars_we.256,13.0,0.0
cars_we.257,13.0,0.0
cars_we.258,14.0,0.0
cars_we.259,13.0,0.0
cars_we.260,13.0,0.0
cars_we.261,14.0,0.0
cars_we.262,13.0,0.0
cars_we.263,13.0,0.0
cars_we.264,13.0,0.0
cars_we.265,12.0,0.0
cars_we.266,14.0,0.0
cars_we.267,13.0,0.0
cars_we.268,13.0,0.0
cars_we.269,13.0,0.0
cars_we.270,12.0,0.0
cars_we.271,12.0,0.0
cars_we.272,13.0,0.0
cars_we.273,13.0,0.0
cars_we.274,13.0,0.0
cars_we.275,13.0,0.0
cars_we.276,13.0,0.0
cars_we.277,13.0,0.0
cars_we.278,13.0,0.0
cars_we.279,13.0,0.0
cars_we.280,12.0,0.0
cars_we.281,13.0,0.0
cars_we.282,15.0,0.0
cars_we.283,14.0,0.0
cars_we.284,15.0,0.0
cars_we.285,12.0,0.0
cars_we.286,13.0,0.0
cars_we.287,14.0,0.0
cars_we.288,13.0,0.0
cars_we.289,14.0,0.0
cars_we.290,13.0,0.0
cars_we.291,14.0,0.0
cars_we.292,13.0,0.0
cars_we.293,13.0,0.0
cars_we.294,14.0,0.0
cars_we.295,12.0,0.0
cars_we.296,13.0,0.0
cars_we.297,13.0,0.0
cars_we.298,13.0,0.0
cars_we.299,12.0,0.0
cars_we.300,13.0,0.0
cars_we.301,13.0,0.0
cars_we.302,14.0,0.0
cars_we.303,13.0,0.0
cars_we.304,14.0,0.0
cars_we.305,13.0,0.0
cars_we.306,14.0,0.0
cars_we.307,12.0,0.0
cars_we.308,13.0,0.0
cars_we.309,13.0,0.0
cars_we.310,12.0,0.0
cars_we.311,13.0,0.0
cars_we.312,13.0,0.0
cars_we.313,13.0,0.0
cars_we.314,14.0,0.0
cars_we.315,13.0,0.0
cars_we.316,13.0,0.0
cars_we.317,14.0,0.0
cars_we.318,13.0,0.0
cars_we.319,13.0,0.0
cars_we.320,14.0,0.0
cars_we.321,12.0,0.0
cars_we.322,13.0,0.0
cars_we.323,13.0,0.0
cars_we.324,13.0,0.0
cars_we.325,13.0,0.0
cars_we.326,13.0,0.0
cars_we.327,13.0,0.0
cars_we.328,13.0,0.0
cars_we.329,14.0,0.0
cars_we.330,13.0,0.0
cars_we.331,14.0,0.0
cars_we.332,14.0,0.0
cars_we.333,13.0,0.0
cars_we.334,13.0,0.0
cars_we.335,13.0,0.0
cars_we.336,14.0,0.0
cars_we.337,14.0,0.0
cars_we.338,12.0,0.0
cars_we.339,13.0,0.0
cars_we.340,13.0,0.0
cars_we.341,14.0,0.0
cars_we.342,14.0,0.0
cars_we.343,14.0,0.0
cars_we.344,15.0,0.0
cars_we.345,14.0,0.0
cars_we.346,13.0,0.0
cars_we.347,13.0,0.0
cars_we.348,13.0,0.0
cars_we.349,12.0,0.0
cars_we.350,13.0,0.0
cars_we.351,13.0,0.0
cars_we.352,14.0,0.0
cars_we.353,14.0,0.0
cars_we.354,13.0,0.0
cars_we.355,13.0,0.0
cars_we.356,13.0,0.0
cars_we.357,13.0,0.0
cars_we.358,13.0,0.0
cars_we.359,13.0,0.0
cars_we.360,13.0,0.0
cars_we.361,14.0,0.0
cars_we.362,13.0,0.0
cars_we.363,13.0,0.0
cars_we.364,13.0,0.0
cars_we.365,13.0,0.0
cars_we.366,13.0,0.0
cars_we.367,13.0,0.0
cars_we.368,13.0,0.0
