distance_remaining,train_length,last_speed,speed_change,time_01,time_12,avg_speed_01,avg_speed_12,accel_trend,predicted_speed_at_crossing,eta_actual,etd_actual,eta_physics,etd_physics,scenario,run_id
2200,200,49.95,0.04000000000000625,-10.0,-4.0,0,0,0,49.95,44.099999999999994,48.099999999999994,44.04404404404404,48.048048048048045,accelerating,0
2200,250,38.02,-6.869999999999997,-11.700000000000003,-5.199999999999999,0,0,0,38.02,47.599999999999994,52.60000000000001,57.8642819568648,64.43976854287217,moderate,1
2200,150,32.99,-9.489999999999995,-12.8,-5.800000000000001,0,0,0,32.99,49.699999999999996,52.699999999999996,66.68687481054864,71.23370718399515,slow,2
2200,150,40.33,-7.600000000000001,-11.099999999999998,-4.800000000000001,0,0,0,40.33,46.0,49.0,54.549962806843546,58.269278452764695,moderate,3
2200,150,44.54,-5.0,-10.399999999999999,-4.5,0,0,0,44.54,44.9,47.9,49.39380332285586,52.761562640323305,decelerating,4
2200,150,49.99,0.060000000000002274,-10.0,-3.9999999999999982,0,0,0,49.99,44.0,47.1,44.00880176035207,47.009401880376075,accelerating,5
2200,100,36.6,-8.809999999999995,-11.7,-5.300000000000001,0,0,0,36.6,47.50000000000001,49.50000000000001,60.10928961748634,62.84153005464481,slow,6
2200,100,36.08,-6.410000000000004,-12.400000000000002,-5.399999999999999,0,0,0,36.08,49.400000000000006,51.400000000000006,60.97560975609756,63.747228381374725,slow,7
2200,150,49.92,-0.04999999999999716,-10.0,-3.9999999999999982,0,0,0,49.92,44.1,47.1,44.07051282051282,47.07532051282051,accelerating,8
2200,250,47.72,-2.200000000000003,-10.0,-4.1,0,0,0,47.72,44.1,49.1,46.102263202011734,51.34115674769489,accelerating,9
2200,150,36.77,-5.399999999999999,-12.399999999999999,-5.400000000000002,0,0,0,36.77,49.8,52.8,59.83138428066358,63.910796845254275,slow,10
2200,250,41.33,-6.200000000000003,-11.100000000000001,-4.699999999999999,0,0,0,41.33,45.900000000000006,50.900000000000006,53.23009920154851,59.27897411081539,moderate,11
2200,200,46.88,-3.1099999999999994,-10.0,-4.1,0,0,0,46.88,44.1,48.1,46.92832764505119,51.19453924914676,moderate,12
2200,150,47.6,-2.3799999999999955,-10.0,-4.100000000000001,0,0,0,47.6,44.099999999999994,47.099999999999994,46.21848739495798,49.36974789915966,accelerating,13
2200,100,49.99,0.0,-10.0,-3.9999999999999982,0,0,0,49.99,44.1,46.1,44.00880176035207,46.00920184036807,decelerating,14
2200,100,46.91,-3.0700000000000003,-10.100000000000001,-4.199999999999999,0,0,0,46.91,44.400000000000006,46.400000000000006,46.89831592411,49.030057557024094,fast,15
2200,100,45.29,-3.3699999999999974,-10.5,-4.300000000000001,0,0,0,45.29,44.900000000000006,46.900000000000006,48.575844557297415,50.78383749172003,fast,16
2200,150,37.45,-6.939999999999998,-11.899999999999999,-5.200000000000003,0,0,0,37.45,47.9,50.9,58.74499332443257,62.75033377837116,slow,17
2200,100,49.97,-0.00999999999999801,-10.0,-4.0,0,0,0,49.97,44.0,46.0,44.0264158495097,46.02761656994197,fast,18
2200,100,49.45,-0.5399999999999991,-10.0,-4.0,0,0,0,49.45,44.0,46.0,44.48938321536906,46.51162790697674,decelerating,19
2200,150,32.22,-8.370000000000005,-13.3,-5.899999999999999,0,0,0,32.22,51.3,54.3,68.28057107386716,72.93606455617629,slow,20
2200,100,34.51,-6.520000000000003,-12.900000000000002,-5.599999999999998,0,0,0,34.51,50.800000000000004,52.800000000000004,63.749637786148945,66.64734859461026,slow,21
2200,250,29.62,-8.559999999999999,-14.200000000000003,-6.5,0,0,0,29.62,54.099999999999994,59.099999999999994,74.27413909520594,82.71438217420662,slow,22
2200,200,49.93,-0.07000000000000028,-10.0,-4.000000000000002,0,0,0,49.93,44.0,48.0,44.06168636090527,48.06729421189666,accelerating,23
2200,150,41.49,-4.119999999999997,-11.3,-4.800000000000001,0,0,0,41.49,46.9,49.900000000000006,53.02482525909858,56.640154254037114,decelerating,24
2200,150,49.95,0.030000000000001137,-10.0,-4.0,0,0,0,49.95,44.099999999999994,47.099999999999994,44.04404404404404,47.047047047047045,accelerating,25
2200,200,50.0,0.030000000000001137,-10.0,-3.9999999999999982,0,0,0,50.0,44.0,48.0,44.0,48.0,accelerating,26
2200,100,42.06,-7.899999999999999,-10.500000000000004,-4.599999999999998,0,0,0,42.06,45.1,47.1,52.30622919638611,54.68378506894912,moderate,27
2200,200,48.13,-1.8599999999999994,-10.100000000000001,-4.1,0,0,0,48.13,44.2,48.2,45.70953667151465,49.8649490961978,fast,28
2200,250,30.81,-6.050000000000001,-14.399999999999999,-6.300000000000001,0,0,0,30.81,56.5,61.7,71.40538786108407,79.5196364816618,slow,29
2200,100,33.33,-7.149999999999999,-13.2,-5.800000000000001,0,0,0,33.33,51.400000000000006,53.400000000000006,66.00660066006601,69.00690069006902,slow,30
2200,200,46.41,-3.5700000000000003,-10.100000000000001,-4.299999999999999,0,0,0,46.41,44.4,48.4,47.40357681534152,51.71299288946348,fast,31
2200,150,49.83,-0.14999999999999858,-10.0,-4.0,0,0,0,49.83,44.0,47.0,44.150110375275936,47.16034517359021,fast,32
