distance_remaining,train_length,last_speed,speed_change,time_01,time_12,avg_speed_01,avg_speed_12,speed_0,speed_1,accel_01,accel_12,accel_trend,predicted_crossing_speed,eta_actual,etd_actual,eta_physics,etd_physics,scenario,run_id
500,200,49.91,4.469999999999999,10.1,10.0,49.504950495049506,50.0,45.44,49.96,0.44752475247524787,-0.005000000000000426,-0.4525247524752483,49.85990983770787,10.000000000000004,14.000000000000004,10.018032458425166,14.025245441795233,accelerating,0
500,250,44.89,10.160000000000004,13.4,11.700000000000003,37.3134328358209,42.735042735042725,34.73,40.16,0.4052238805970149,0.4042735042735045,-0.0009503763235104157,49.392934999704885,10.599999999999994,15.599999999999994,11.138338159946535,16.707507239919803,moderate,1
500,150,42.48,14.649999999999999,15.6,12.8,32.05128205128205,39.0625,27.83,35.91,0.5179487179487179,0.51328125,-0.004667467948717863,48.52144597457627,11.0,14.100000000000001,11.77024482109228,15.301318267419964,slow,2
500,150,47.93,11.189999999999998,12.600000000000001,11.099999999999998,39.68253968253968,45.04504504504505,36.74,42.67,0.4706349206349206,0.4738738738738738,0.003238953238953235,50.0,10.100000000000001,13.100000000000001,10.431879824744419,13.561443772167745,moderate,3
500,150,49.54,7.25,11.4,10.399999999999999,43.859649122807014,48.07692307692308,42.29,46.05,0.3298245614035086,0.33557692307692333,0.005752361673414752,50.0,10.0,13.0,10.092854259184497,13.120710536939846,decelerating,4
500,150,49.93,4.189999999999998,10.099999999999998,10.0,49.50495049504951,50.0,45.74,49.93,0.4148514851485147,0.0,-0.4148514851485147,49.93,10.0,13.0,10.01401962747847,13.01822551572201,accelerating,5
500,100,45.41,13.369999999999997,14.0,11.7,35.714285714285715,42.73504273504274,32.04,39.42,0.5271428571428574,0.5119658119658116,-0.015177045177045767,50.0,10.5,12.5,11.010790574763268,13.212948689715923,slow,6
500,100,42.49,9.54,14.1,12.400000000000002,35.46099290780142,40.32258064516128,32.95,38.1,0.3652482269503545,0.3540322580645161,-0.011215968885838423,46.65606563973307,11.299999999999997,13.399999999999999,11.767474699929394,14.120969639915273,slow,7
500,150,49.97,6.869999999999997,10.399999999999999,10.0,48.07692307692308,50.0,43.1,49.95,0.6586538461538464,0.001999999999999602,-0.6566538461538468,49.99001200720432,10.0,13.0,10.006003602161297,13.007804682809686,accelerating,8
500,250,49.92,11.54,11.0,10.0,45.45454545454545,50.0,38.38,49.98,1.054545454545454,-0.005999999999999517,-1.0605454545454536,49.859903846153856,10.000000000000004,15.000000000000004,10.01602564102564,15.024038461538462,accelerating,9
500,150,42.17,7.920000000000002,13.8,12.399999999999999,36.231884057971016,40.322580645161295,34.25,38.47,0.30579710144927524,0.29838709677419384,-0.007410004675081405,45.707907241809274,11.399999999999999,14.600000000000001,11.856770215793217,15.413801280531183,slow,10
500,250,47.53,9.14,12.2,11.100000000000001,40.98360655737705,45.045045045045036,38.39,43.18,0.3926229508196721,0.391891891891892,-0.0007310589277800816,50.0,10.100000000000001,15.100000000000001,10.519671786240268,15.779507679360403,moderate,11
500,200,49.99,8.920000000000002,11.0,10.0,45.45454545454545,50.0,41.07,49.98,0.8099999999999997,0.0010000000000005115,-0.8089999999999992,50.0,10.0,14.0,10.002000400080016,14.002800560112021,moderate,12
500,150,49.98,10.779999999999994,11.0,10.0,45.45454545454545,50.0,39.2,49.92,0.9745454545454545,0.005999999999999517,-0.9685454545454549,50.0,9.999999999999996,12.999999999999996,10.004001600640256,13.005202080832333,accelerating,13
500,100,49.99,3.5800000000000054,10.2,10.0,49.01960784313726,50.0,46.41,49.99,0.3509803921568633,0.0,-0.3509803921568633,49.99,10.0,12.0,10.002000400080016,12.00240048009602,decelerating,14
500,100,49.98,4.899999999999999,10.7,10.100000000000001,46.728971962616825,49.5049504950495,45.08,48.12,0.28411214953271025,0.18415841584158407,-0.09995373369112617,50.0,10.0,12.0,10.004001600640256,12.004801920768308,fast,15
500,100,48.66,4.869999999999997,11.1,10.5,45.04504504504504,47.61904761904762,43.79,46.28,0.2243243243243245,0.22666666666666624,0.0023423423423417356,50.0,10.100000000000001,12.100000000000001,10.275380189066997,12.330456226880395,fast,16
500,150,44.39,10.299999999999997,13.500000000000002,11.899999999999999,37.03703703703703,42.01680672268908,34.09,39.64,0.41111111111111087,0.39915966386554624,-0.011951447245564628,48.8860538844959,10.799999999999997,13.799999999999997,11.263798152737102,14.642937598558234,slow,17
500,100,49.98,-0.010000000000005116,10.0,10.0,50.0,50.0,49.99,50.0,0.000999999999999801,-0.0020000000000003127,-0.0030000000000001137,49.95999199679871,10.000000000000004,12.000000000000004,10.004001600640256,12.004801920768308,fast,18
500,100,49.99,3.3900000000000006,10.3,10.0,48.543689320388346,50.0,46.6,49.99,0.32912621359223304,0.0,-0.32912621359223304,49.99,9.999999999999996,11.999999999999996,10.002000400080016,12.00240048009602,decelerating,19
500,150,40.59,12.820000000000004,15.899999999999999,13.3,31.446540880503147,37.59398496240601,27.77,34.76,0.4396226415094339,0.43834586466165454,-0.0012767768477793817,45.989678056930956,11.600000000000001,14.799999999999997,12.31830500123183,16.013796501601377,slow,20
500,100,41.03,9.780000000000001,14.799999999999999,12.900000000000002,33.78378378378379,38.75968992248061,31.25,36.53,0.35675675675675683,0.34883720930232553,-0.007919547454431297,45.28100181942878,11.600000000000001,13.799999999999997,12.186205215695832,14.623446258835,slow,21
