vehicle_id,route,trip_time,wait_time
cars.0,west,324.09999999999997,69.89999999999999
cars.1,west,340.79999999999995,55.29999999999998
cars.2,west,339.2,54.30000000000001
cars.3,west,337.5,0.0
cars.4,west,335.9,0.0
cars.5,west,356.79999999999995,0.0
cars.6,west,355.2,0.0
cars.7,west,353.7,0.0
cars.8,west,352.09999999999997,0.0
cars.9,west,350.79999999999995,0.0
cars.10,west,349.09999999999997,0.0
cars.11,west,347.4,0.0
cars.12,west,345.7,0.0
cars.13,west,344.0,0.0
cars.14,west,342.5,0.0
cars.15,west,341.2,0.0
cars.16,west,340.09999999999997,0.0
cars.17,west,338.5,0.0
cars.18,west,336.9,0.0
cars.19,west,335.29999999999995,0.0
cars.20,west,333.59999999999997,0.0
cars.21,west,332.0,0.0
cars.22,west,330.5,0.0
cars.23,west,332.29999999999995,0.0
cars.24,west,343.0,0.0
cars.25,west,341.5,0.0
cars.26,west,339.9,0.0
cars.27,west,338.29999999999995,0.0
cars.28,west,336.6,0.0
cars.29,west,335.1,0.0
cars.30,west,333.4,0.0
cars.31,west,331.70000000000005,0.0
cars.32,west,330.1,0.0
cars.33,west,328.4,0.0
cars.34,west,326.9,0.0
cars.35,west,325.29999999999995,0.0
cars.36,west,323.79999999999995,0.0
cars.37,west,322.1,0.0
cars.38,west,320.4,0.0
cars.39,west,319.70000000000005,0.0
cars.40,west,318.0,0.0
cars.41,west,316.5,0.0
cars.42,west,314.79999999999995,0.0
cars.43,west,313.20000000000005,0.0
cars.44,west,311.5,0.0
cars.45,west,309.79999999999995,0.0
cars.46,west,308.29999999999995,0.0
cars.47,west,309.70000000000005,0.0
cars.48,west,313.0,0.0
cars.49,west,316.9,0.0
cars.50,west,315.4,0.0
cars.51,west,313.79999999999995,0.0
cars.52,west,312.1,0.0
cars.53,west,310.4,0.0
cars.54,west,308.79999999999995,0.0
cars.55,west,307.20000000000005,0.0
cars.56,west,306.1,0.0
cars.57,west,304.5,0.0
cars.58,west,302.79999999999995,0.0
cars.59,west,301.29999999999995,0.0
cars.60,west,299.6,0.0
cars.61,west,297.9,0.0
cars.62,west,296.29999999999995,0.0
cars.63,west,294.79999999999995,0.0
cars.64,west,293.5,0.0
cars.65,west,298.20000000000005,0.0
cars.66,west,296.6,0.0
cars.67,west,295.1,0.0
cars.68,west,293.4,0.0
cars.69,west,291.79999999999995,0.0
cars.70,west,290.1,0.0
cars.71,west,288.6,0.0
cars.72,west,287.20000000000005,0.0
cars.73,west,285.5,0.0
cars.74,west,284.0,0.0
cars.75,west,282.4,0.0
cars.76,west,280.79999999999995,0.0
cars.77,west,279.29999999999995,0.0
cars.78,west,277.70000000000005,0.0
cars.79,west,276.0,0.0
cars.80,west,274.4,0.0
cars.81,west,272.9,0.0
cars.82,west,271.29999999999995,0.0
cars.83,west,273.19999999999993,0.0
cars.84,west,271.5,0.0
cars.85,west,271.4,0.0
cars.86,west,269.79999999999995,0.0
cars.87,west,268.19999999999993,0.0
cars.88,west,266.6,0.0
cars.89,west,265.0,0.0
cars.90,west,263.5,0.0
cars.91,west,385.79999999999995,89.0
cars.92,west,406.0,87.69999999999999
cars.93,west,404.4,87.80000000000001
cars.94,west,402.69999999999993,88.40000000000003
cars.95,west,401.0,88.80000000000001
cars.96,west,399.4,88.69999999999999
cars.97,west,398.1,88.60000000000002
cars.98,west,396.5,88.19999999999999
cars.99,west,394.69999999999993,0.0
cars.100,west,393.0,0.0
cars.101,west,391.69999999999993,0.0
cars.102,west,390.1,0.0
cars.103,west,388.6,0.0
cars.104,west,387.4,0.0
cars.105,west,385.79999999999995,0.0
cars.106,west,384.1,0.0
cars.107,west,382.5,0.0
cars.108,west,380.79999999999995,0.0
cars.109,west,379.4,0.0
cars.110,west,378.0,0.0
cars.111,west,384.79999999999995,0.0
cars.112,west,383.19999999999993,0.0
cars.113,west,381.5,0.0
cars.114,west,379.79999999999995,0.0
cars.115,west,378.5,0.0
cars.116,west,376.79999999999995,0.0
cars.117,west,375.19999999999993,0.0
cars.118,west,373.6,0.0
cars.119,west,372.0,0.0
cars.120,west,370.6,0.0
cars.121,west,369.0,0.0
cars.122,west,367.29999999999995,0.0
cars.123,west,365.69999999999993,0.0
cars.124,west,364.0,0.0
cars.125,west,362.29999999999995,0.0
cars.126,west,360.79999999999995,0.0
cars.127,west,378.5,0.0
cars.128,west,376.9,0.0
cars.129,west,375.19999999999993,0.0
cars.130,west,373.5,0.0
cars.131,west,371.79999999999995,0.0
cars.132,west,370.29999999999995,0.0
cars.133,west,368.69999999999993,0.0
cars.134,west,367.0,0.0
cars.135,west,365.4,0.0
cars.136,west,363.69999999999993,0.0
cars.137,west,362.1,0.0
cars.138,west,360.6,0.0
cars.139,west,359.19999999999993,0.0
cars.140,west,357.5,0.0
cars.141,west,355.79999999999995,0.0
cars.142,west,354.6,0.0
cars.143,west,353.0,0.0
cars.144,west,382.5,0.0
cars.145,west,381.0,0.0
cars.146,west,379.29999999999995,0.0
cars.147,west,377.6,0.0
cars.148,west,375.9,0.0
cars.149,west,374.19999999999993,0.0
cars.150,west,372.6,0.0
cars.151,west,371.0,0.0
cars.152,west,369.19999999999993,0.0
cars.153,west,367.9,0.0
cars.154,west,366.19999999999993,0.0
cars.155,west,364.4,0.0
cars.156,west,362.69999999999993,0.0
cars.157,west,361.0,0.0
cars.158,west,360.1,0.0
cars.159,west,358.4,0.0
cars.160,west,357.19999999999993,0.0
cars.161,west,355.6,0.0
cars.162,west,353.9,0.0
cars.163,west,352.19999999999993,0.0
cars.164,west,350.6,0.0
cars.165,west,349.4,0.0
cars.166,west,347.69999999999993,0.0
cars.167,west,346.1,0.0
cars.168,west,344.5,0.0
cars.169,west,343.1,0.0
cars.170,west,341.4,0.0
cars.171,west,340.19999999999993,0.0
cars.172,west,338.69999999999993,0.0
cars.173,west,337.1,0.0
cars.174,west,335.6,0.0
cars.175,west,334.1,0.0
cars.176,west,332.4,0.0
cars.177,west,330.79999999999995,0.0
cars.178,west,329.1,0.0
cars.179,west,327.4,0.0
cars.180,west,325.69999999999993,0.0
cars.181,west,324.19999999999993,0.0
cars.182,west,322.6,0.0
cars.183,west,320.9,0.0
cars.184,west,319.9,0.0
cars.185,west,318.6,0.0
cars.186,west,317.0,0.0
cars.187,west,315.9,0.0
cars.188,west,314.29999999999995,0.0
cars.189,west,312.69999999999993,0.0
cars.190,west,311.29999999999995,0.0
cars.191,west,309.69999999999993,0.0
cars.192,west,308.1,0.0
cars.193,west,306.4,0.0
