vehicle,crossing,wait_duration,engine_off_duration,fuel_saved,co2_saved,time
f_north_wb.0,west,37.5,22.75,0.2275,0.525525,180.2
f_south_eb.1,east,43.599999999999994,27.019999999999996,0.27019999999999994,0.6241619999999999,180.2
f_south_eb.2,west,38.599999999999994,23.519999999999996,0.23519999999999996,0.5433119999999999,180.2
f_north_eb.1,west,44.60000000000002,27.720000000000013,0.2772000000000001,0.6403320000000002,180.3
f_north_wb.1,east,34.10000000000002,20.370000000000015,0.20370000000000016,0.4705470000000004,180.3
f_south_wb.1,west,36.60000000000002,22.120000000000015,0.22120000000000015,0.5109720000000003,180.3
f_south_wb.2,east,31.30000000000001,18.410000000000007,0.18410000000000007,0.4252710000000002,180.3
f_north_eb.2,west,41.69999999999999,25.68999999999999,0.2568999999999999,0.5934389999999998,180.7
f_north_wb.2,east,31.299999999999983,18.409999999999986,0.18409999999999987,0.42527099999999973,180.7
f_south_eb.3,west,19.0,9.799999999999999,0.09799999999999999,0.22637999999999997,180.7
f_south_wb.3,east,28.5,16.45,0.1645,0.379995,180.7
f_north_eb.3,west,12.699999999999989,5.389999999999992,0.05389999999999992,0.12450899999999981,181.2
f_south_eb.4,west,12.299999999999983,5.109999999999988,0.05109999999999988,0.11804099999999973,181.2
f_south_wb.4,east,2.0999999999999943,0.0,0.0,0.0,181.2
f_north_wb.3,east,20.700000000000017,10.99000000000001,0.10990000000000011,0.25386900000000023,181.3
f_north_eb.4,west,11.200000000000017,4.340000000000011,0.04340000000000011,0.10025400000000026,181.8
f_north_wb.4,east,16.900000000000006,8.330000000000004,0.08330000000000004,0.1924230000000001,181.8
f_south_eb.5,west,10.700000000000017,3.9900000000000118,0.039900000000000116,0.09216900000000026,181.8
f_north_eb.5,west,9.900000000000006,3.4300000000000037,0.03430000000000004,0.0792330000000001,182.4
f_north_eb.8,east,43.099999999999994,26.669999999999995,0.26669999999999994,0.6160769999999999,270.2
f_north_wb.8,west,33.89999999999998,20.229999999999983,0.20229999999999984,0.46731299999999965,270.2
f_north_wb.9,east,27.0,15.399999999999999,0.154,0.35574,270.2
f_south_eb.9,west,27.599999999999994,15.819999999999995,0.15819999999999995,0.3654419999999999,270.2
f_south_wb.10,east,33.099999999999994,19.669999999999995,0.19669999999999996,0.4543769999999999,270.2
f_south_wb.7,west,37.79999999999998,22.959999999999987,0.22959999999999986,0.5303759999999997,270.2
f_north_eb.9,west,30.80000000000001,18.060000000000006,0.18060000000000007,0.41718600000000017,270.3
f_north_eb.10,west,28.0,16.099999999999998,0.16099999999999998,0.37190999999999996,270.7
f_north_wb.10,east,24.299999999999983,13.509999999999987,0.1350999999999999,0.3120809999999997,270.7
f_south_eb.10,west,25.0,14.0,0.14,0.3234,270.7
f_south_wb.11,east,16.799999999999983,8.259999999999987,0.08259999999999988,0.19080599999999973,270.7
f_south_wb.8,west,35.0,21.0,0.21,0.4851,270.7
f_north_wb.11,east,22.599999999999994,12.319999999999995,0.12319999999999995,0.2845919999999999,271.2
f_north_eb.11,west,9.5,3.15,0.0315,0.072765,271.3
f_south_eb.11,west,22.80000000000001,12.460000000000008,0.12460000000000009,0.2878260000000002,271.3
f_south_wb.12,east,7.699999999999989,1.889999999999992,0.01889999999999992,0.043658999999999816,271.3
f_south_wb.9,west,33.5,19.95,0.1995,0.46084500000000006,271.3
f_north_wb.12,east,20.400000000000006,10.780000000000003,0.10780000000000003,0.24901800000000007,271.8
f_south_eb.12,west,11.699999999999989,4.6899999999999915,0.046899999999999914,0.10833899999999981,271.8
f_north_eb.12,west,7.899999999999977,2.029999999999984,0.02029999999999984,0.04689299999999963,271.9
f_north_wb.13,east,1.0,0.0,0.0,0.0,272.2
f_south_eb.13,west,1.099999999999966,0.0,0.0,0.0,272.2
f_north_eb.13,west,3.1999999999999886,0.0,0.0,0.0,272.4
f_west_ns.5,west,23.80000000000001,13.160000000000007,0.13160000000000008,0.3039960000000002,275.1
f_west_sn.5,west,24.299999999999983,13.509999999999987,0.1350999999999999,0.3120809999999997,275.2
f_north_eb.17,west,40.39999999999998,24.779999999999983,0.24779999999999983,0.5724179999999996,360.2
f_south_wb.17,east,26.599999999999966,15.119999999999974,0.15119999999999975,0.3492719999999994,360.2
f_north_eb.16,east,37.80000000000001,22.960000000000008,0.22960000000000008,0.5303760000000002,360.3
f_north_wb.15,west,43.30000000000001,26.810000000000006,0.26810000000000006,0.6193110000000002,360.3
f_north_wb.17,east,42.0,25.9,0.259,0.59829,360.3
f_south_eb.16,east,35.60000000000002,21.420000000000016,0.21420000000000017,0.4948020000000004,360.3
f_south_eb.17,west,41.30000000000001,25.410000000000007,0.2541000000000001,0.5869710000000002,360.3
f_south_wb.16,west,29.400000000000034,17.080000000000023,0.17080000000000023,0.39454800000000056,360.3
f_north_eb.18,west,5.199999999999989,0.13999999999999202,0.0013999999999999202,0.0032339999999998156,360.7
f_north_wb.16,west,31.899999999999977,18.829999999999984,0.18829999999999986,0.43497299999999967,360.7
f_north_wb.18,east,17.30000000000001,8.610000000000007,0.08610000000000007,0.19889100000000015,360.7
f_south_eb.18,west,34.69999999999999,20.789999999999992,0.20789999999999992,0.4802489999999998,360.7
f_south_wb.18,east,23.899999999999977,13.229999999999983,0.13229999999999983,0.30561299999999963,360.7
f_north_eb.19,west,3.599999999999966,0.0,0.0,0.0,361.2
f_south_eb.19,west,26.099999999999966,14.769999999999975,0.14769999999999975,0.3411869999999994,361.2
f_south_wb.19,east,22.19999999999999,12.039999999999992,0.12039999999999992,0.2781239999999998,361.2
