vehicle,crossing,duration,time
f_east_ns.0,,0.19999999999999998,0.3
f_east_sn.0,,0.19999999999999998,0.3
f_north_eb.0,,0.19999999999999998,0.3
f_north_wb.0,,0.19999999999999998,0.3
f_south_wb.0,,0.19999999999999998,0.3
f_west_sn.0,,0.19999999999999998,0.3
f_south_eb.0,,0.30000000000000004,0.4
f_west_ns.0,,0.30000000000000004,0.4
f_north_eb.1,,0.20000000000000107,12.3
f_north_wb.1,,0.20000000000000107,12.3
f_south_eb.1,,0.20000000000000107,12.3
f_south_wb.1,,0.20000000000000107,12.3
f_north_wb.2,,0.1999999999999993,24.3
f_north_eb.2,,0.29999999999999716,24.4
f_south_eb.2,,0.29999999999999716,24.4
f_south_wb.2,,0.29999999999999716,24.4
f_south_eb.3,,0.19999999999999574,36.3
f_south_wb.3,,0.19999999999999574,36.3
f_north_eb.3,,0.29999999999999716,36.4
f_north_wb.3,,0.29999999999999716,36.4
f_east_ns.1,,0.19999999999999574,48.3
f_north_wb.4,,0.19999999999999574,48.3
f_south_eb.4,,0.19999999999999574,48.3
f_south_wb.4,,0.19999999999999574,48.3
f_west_ns.1,,0.19999999999999574,48.3
f_west_sn.1,,0.19999999999999574,48.3
f_east_sn.1,,0.29999999999999716,48.4
f_north_eb.4,,0.29999999999999716,48.4
f_north_wb.5,,0.19999999999999574,60.3
f_south_wb.5,,0.19999999999999574,60.3
f_north_eb.5,,0.29999999999999716,60.4
f_south_eb.5,,0.29999999999999716,60.4
f_north_eb.6,,0.20000000000000284,72.3
f_south_wb.6,,0.20000000000000284,72.3
f_north_wb.6,,0.30000000000001137,72.4
f_south_eb.6,,0.30000000000001137,72.4
f_north_wb.7,,0.20000000000000284,84.3
f_south_wb.7,,0.20000000000000284,84.3
f_north_eb.7,,0.30000000000001137,84.4
f_south_eb.7,,0.30000000000001137,84.4
f_east_ns.2,,0.20000000000000284,96.3
f_east_sn.2,,0.20000000000000284,96.3
f_south_eb.8,,0.20000000000000284,96.3
f_west_ns.2,,0.20000000000000284,96.3
f_west_sn.2,,0.20000000000000284,96.3
f_north_eb.8,,0.30000000000001137,96.4
f_north_wb.8,,0.30000000000001137,96.4
f_south_wb.8,,0.30000000000001137,96.4
