vehicle_id,first_seen,total_fuel_liters,total_co2_kg,total_wait_time_seconds
f_east_ns.0,0.1,1.274000000000001,2.9429399999999952,0.2
f_east_sn.0,0.1,1.410000000000001,3.2570999999999923,0.2
f_north_eb.0,0.1,18.48999999999885,42.7118999999985,0.2
f_north_wb.0,0.1,21.61699999999834,49.935269999997715,37.700000000000266
f_south_eb.0,0.1,19.354999999998757,44.71004999999815,0.30000000000000004
f_south_wb.0,0.1,18.105999999998893,41.82485999999866,0.2
f_west_ns.0,0.1,1.267000000000001,2.9267699999999954,0.30000000000000004
f_west_sn.0,0.1,1.466000000000001,3.386459999999991,0.2
f_north_eb.1,12.1,21.6799999999983,50.08079999999779,44.80000000000037
f_north_wb.1,12.1,23.454999999998154,54.181049999996915,34.30000000000022
f_south_eb.1,12.1,18.93399999999861,43.737539999998894,43.80000000000035
f_south_wb.1,12.1,19.91199999999853,45.996719999998405,36.80000000000025
f_north_eb.2,24.1,21.027999999998386,48.57467999999802,42.00000000000033
f_north_wb.2,24.1,22.79499999999824,52.65644999999715,31.500000000000178
f_south_eb.2,24.1,20.556999999998453,47.48666999999816,38.90000000000028
f_south_wb.2,24.1,21.77999999999835,50.31179999999757,31.60000000000018
f_north_eb.3,36.1,22.929999999998305,52.96829999999685,12.99999999999997
f_north_wb.3,36.1,22.689999999998296,52.41389999999706,21.00000000000003
f_south_eb.3,36.1,21.671999999998416,50.06231999999745,19.200000000000003
f_south_wb.3,36.1,21.134999999998435,48.821849999997795,28.700000000000138
f_east_ns.1,48.1,1.370000000000001,3.164699999999993,0.2
f_east_sn.1,48.1,1.347000000000001,3.1115699999999937,0.30000000000000004
f_north_eb.4,48.1,22.178999999998396,51.23348999999714,11.499999999999975
f_north_wb.4,48.1,22.10699999999838,51.06716999999724,17.099999999999973
f_south_eb.4,48.1,21.30099999999849,49.20530999999751,12.499999999999972
f_south_wb.4,48.1,22.582999999998393,52.166729999996846,2.3000000000000007
f_west_ns.1,48.1,1.474000000000001,3.404939999999991,0.2
f_west_sn.1,48.1,1.426000000000001,3.294059999999992,0.2
f_north_eb.5,60.1,21.413999999998484,49.46633999999743,10.19999999999998
f_north_wb.5,60.1,22.449999999998415,51.85949999999688,0.2
f_south_eb.5,60.1,20.549999999998576,47.4704999999978,10.999999999999977
f_south_wb.5,60.1,21.881999999998477,50.54741999999711,0.2
f_north_eb.6,72.1,21.265999999998545,49.12445999999736,0.2
f_north_wb.6,72.1,21.58699999999851,49.86596999999723,0.30000000000000004
f_south_eb.6,72.1,20.450999999998636,47.2418099999977,0.30000000000000004
f_south_wb.6,72.1,21.02599999999857,48.57005999999746,0.2
f_north_eb.7,84.1,20.41899999999864,47.16788999999771,0.30000000000000004
f_north_wb.7,84.1,20.737999999998603,47.90477999999758,0.2
f_south_eb.7,84.1,19.60299999999873,45.282929999998046,0.30000000000000004
f_south_wb.7,84.1,22.451999999998247,51.86411999999738,38.00000000000027
f_east_ns.2,96.1,1.298000000000001,2.9983799999999947,0.2
f_east_sn.2,96.1,1.394000000000001,3.2201399999999927,0.2
f_north_eb.8,96.1,19.889999999998505,45.9458999999985,43.40000000000035
f_north_wb.8,96.1,21.189999999998403,48.94889999999784,34.200000000000216
f_south_eb.8,96.1,18.753999999998822,43.32173999999839,0.2
f_south_wb.8,96.1,21.792999999998333,50.341829999997614,35.30000000000023
f_west_ns.2,96.1,1.274000000000001,2.9429399999999952,0.2
f_west_sn.2,96.1,1.2500000000000009,2.8874999999999957,0.2
f_north_eb.9,108.1,22.926999999998227,52.96136999999709,31.100000000000172
f_north_wb.9,108.1,23.551999999998174,54.405119999996785,27.200000000000117
f_south_eb.9,108.1,23.45399999999818,54.17873999999683,27.800000000000125
f_south_wb.9,108.1,21.03399999999842,48.588539999997906,33.80000000000021
f_north_eb.10,120.1,22.28199999999831,51.471419999997316,28.20000000000013
f_north_wb.10,120.1,22.88599999999826,52.86665999999702,24.60000000000008
f_south_eb.10,120.1,22.78099999999827,52.624109999997074,25.30000000000009
f_south_wb.10,120.1,20.428999999998492,47.190989999998145,33.3000000000002
f_north_eb.11,132.1,22.72999999999834,52.50629999999689,9.799999999999981
f_north_wb.11,132.1,22.147999999998348,51.1618799999973,22.800000000000054
f_south_eb.11,132.1,22.085999999998354,51.018659999997325,23.000000000000057
f_south_wb.11,132.1,20.9859999999985,48.4776599999977,16.99999999999997
f_east_ns.3,144.1,1.371000000000001,3.167009999999993,0.30000000000000004
f_east_sn.3,144.1,1.371000000000001,3.167009999999993,0.30000000000000004
f_north_eb.12,144.1,21.99399999999843,50.80613999999717,8.199999999999987
f_north_wb.12,144.1,21.445999999998435,49.54025999999756,20.600000000000023
f_south_eb.12,144.1,21.999999999998412,50.819999999997215,11.999999999999973
f_south_wb.12,144.1,20.774999999998567,47.990249999997665,7.899999999999988
f_west_ns.3,144.1,1.354000000000001,3.1277399999999935,0.2
f_west_sn.3,144.1,1.3950000000000011,3.2224499999999927,0.30000000000000004
f_north_eb.13,156.1,21.46699999999851,49.588769999997325,3.5000000000000018
f_north_wb.13,156.1,21.955999999998465,50.71835999999709,1.2
f_south_eb.13,156.1,21.892999999998473,50.57282999999712,1.3
f_south_wb.13,156.1,20.473999999998632,47.29493999999769,0.2
f_north_eb.14,168.1,20.86599999999859,48.20045999999753,0.2
f_north_wb.14,168.1,21.162999999998558,48.88652999999741,0.30000000000000004
f_south_eb.14,168.1,21.13099999999856,48.81260999999742,0.30000000000000004
f_south_wb.14,168.1,19.8499999999987,45.85349999999794,0.2
