vehicle,from,to,wait_original,wait_new,time_saved,fuel_saved,co2_saved,time
f_south_eb.77_reroute,west,east,30.200000000000045,5.231380394037703,16.822966283417212,0.09852064548474893,0.22758269106977003,1080.7
f_south_eb.17_reroute,west,east,41.30000000000001,3.972491779781252,23.922433366755406,0.15505873225232067,0.35818567150286074,360.3
f_north_eb.2_reroute,west,east,41.69999999999999,7.124889364940968,22.572325324648627,0.12270959433756326,0.28345916291977113,180.7
f_south_eb.71_reroute,west,east,28.0,5.779382639629084,12.921963617868563,0.08058911903051202,0.18616086496048279,990.7
f_north_wb.24_reroute,west,east,37.099999999999966,2.110427677809831,26.472713434648167,0.16490479337387384,0.3809300726936486,450.7
f_south_wb.23_reroute,west,east,38.099999999999966,3.3324124635780006,24.759962708039023,0.15311581942627844,0.35369754287470323,451.2
f_north_eb.52_reroute,west,east,34.5,2.0431259640699784,23.631625714753632,0.15351617893143069,0.3546223733316049,810.2
f_south_eb.31_reroute,west,east,41.19999999999993,3.2277088874869557,27.163888742654844,0.1670687442391125,0.3859287991923499,540.3
f_north_eb.24_reroute,west,east,39.10000000000002,5.551882508981455,20.857164046964307,0.128066920980632,0.2958345874652599,450.3
f_north_eb.47_reroute,west,east,43.799999999999955,5.894523471194207,27.188725615105014,0.14823785371071532,0.3424294420717524,720.3
f_south_wb.83_reroute,west,east,43.59999999999991,6.926634745086604,27.045341026162394,0.1371016640883773,0.31670484404415156,1170.3
f_north_eb.84_reroute,west,east,38.90000000000009,6.2822170996723665,22.042498480702413,0.12194157672433023,0.28168504223320284,1170.2
f_north_eb.33_reroute,west,east,22.200000000000045,4.689092441614747,7.374105738303461,0.06577023419130786,0.15192924098192115,540.7
f_north_eb.64_reroute,west,east,28.100000000000023,4.909813156066456,9.723177983224254,0.08478663541417189,0.19585712780673706,900.7
f_north_eb.48_reroute,west,east,20.700000000000045,3.0296720384342444,4.242270218854122,0.07316668494393888,0.16901504222049882,720.7
f_north_wb.23_reroute,west,east,40.19999999999999,7.3745318092510255,23.795296958754562,0.11754762734562157,0.27153501916838585,450.3
f_north_eb.76_reroute,west,east,33.0,7.176144518648442,12.005548703870048,0.08024687786932067,0.18537028787813073,1080.2
f_north_eb.63_reroute,west,east,39.700000000000045,6.937108228419104,22.912510738318215,0.11909768382328642,0.27511564963179164,900.2
f_west_ns.20_reroute,west,east,24.0,7.648309295379303,3.0,0.03501690704620698,0.08088905527673813,995.3
f_south_eb.78_reroute,west,east,28.59999999999991,4.7640514636360916,11.071860014777595,0.08976727538580521,0.20736240614121004,1081.3
f_south_eb.62_reroute,west,east,37.5,2.983892547662049,25.483187617169662,0.155885855949134,0.36009632724249957,900.7
f_south_wb.1_reroute,west,east,36.60000000000002,7.621482842906156,14.989103236019158,0.09106882642496725,0.21036898904167434,180.3
f_south_wb.22_reroute,west,east,39.80000000000001,5.945706121751844,20.253091114264315,0.1253225754538781,0.2894951492984584,450.7
f_north_wb.31_reroute,west,east,33.00000000000006,3.6604442702666713,16.79064305263683,0.12258152187628871,0.2831633155342269,540.7
f_south_eb.63_reroute,west,east,35.90000000000009,4.200715237453091,20.711357544679984,0.1317598839424894,0.3043653319071505,901.2
f_west_ns.5_reroute,west,east,23.80000000000001,6.566420678643841,4.863454093352956,0.048030974353591084,0.1109515507567954,275.1
f_south_wb.46_reroute,west,east,28.200000000000045,5.291120836453704,13.345721844530825,0.08670737440225934,0.2002940348692191,720.2
f_south_eb.72_reroute,west,east,25.59999999999991,7.518414316779427,7.748344076552112,0.04823837294703363,0.11143064150764768,991.3
f_north_wb.61_reroute,west,east,34.40000000000009,6.351908576733021,15.345005211931888,0.09769842205056792,0.2256833549368119,900.7
f_north_eb.77_reroute,west,east,30.299999999999955,6.01248111492346,14.092968647527313,0.08691464182205624,0.20077282260894994,1080.7
f_south_wb.9_reroute,west,east,33.5,6.378678567647363,14.3249100516156,0.09320057940094978,0.215293338416194,271.3
f_south_wb.74_reroute,west,east,28.59999999999991,6.402413800747677,13.431310041875868,0.07692282705533676,0.17769173049782794,1080.3
f_south_eb.79_reroute,west,east,27.299999999999955,7.637754441031861,11.344094529780845,0.05753859738435255,0.13291415995785438,1081.8
f_north_eb.49_reroute,west,east,19.0,7.9734638203326345,3.0,0.016765361796673647,0.03872798575031612,721.2
f_west_sn.5_reroute,west,east,24.299999999999983,6.5748298302487616,4.889374501028767,0.0494857634490555,0.11431211356731821,275.2
f_south_eb.76_reroute,west,east,32.90000000000009,5.853809875211847,13.647810039281188,0.09563361630680361,0.22091365366871635,1080.2
f_south_eb.41_reroute,west,east,29.700000000000045,5.7633594992276675,13.379086378047264,0.08653503457479438,0.19989592986777502,630.7
